Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Violation Time,Violation County,From Hours In Effect,To Hours In Effect,Vehicle Color,Vehicle Year,Meter Number,Violation Post Code,Violation Description
GYG8911,NY,PAS,12/18/2016,24,SUBN,JEEP,1204P,Q,,,BK,2015,,15 4,24-No Parking (exc auth veh)
8P82H,NY,OMT,12/21/2016,14,TAXI,NISSA,1015A,NY,ALL,ALL,YELLO,2014,-,,
GML6346,NY,PAS,12/19/2016,21,SDN,HONDA,1212P,K,1130A,0100A,GREY,2013,-,,
12203MG,NY,COM,12/1/2016,46,VAN,FRUEH,1137A,NY,ALL,ALL,BROWN,2015,-,,
HEG7444,NY,PAS,12/1/2016,36,4DSD,BMW,1027A,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
34719MG,NY,COM,12/8/2016,50,DELV,INTER,0742A,NY,,,BL,2015,,J 99,50-Crosswalk
100VM,NY,SRF,12/7/2016,20,SUBN,JEEP,0440P,NY,0800A,0600P,WHITE,2013,,01B,20A-No Parking (Non-COM)
HLF3741,NY,PAS,12/21/2016,38,4DSD,INFIN,0943P,K,0800A,1000P,GY,2016,,U 31,38-Failure to Display Muni Rec
HJF2092,NY,PAS,12/3/2016,38,SUBN,BMW,0204P,K,0900A,0700P,BL,2016,,19 3,38-Failure to Display Muni Rec
GMR2584,NY,PAS,12/1/2016,37,4DSD,HYUND,1110A,K,0900A,0700P,GY,2013,311-3061,01 3,37-Expired Muni Meter
HMF6591,NY,PAS,12/14/2016,21,4DSD,HONDA,1239P,Q,1130A,0100P,GREY,2017,,51-A,21-No Parking (street clean)
GCF1897,NY,PAS,12/10/2016,7,4DSD,HONDA,0118P,QN,,,GY,2013,,,FAILURE TO STOP AT RED LIGHT
ATE9889,NY,PAS,12/20/2016,21,4DSD,ME/BE,1206P,K,1130A,0100P,GY,2015,,M 31,21-No Parking (street clean)
GDV2141,NY,PAS,12/15/2016,38,4DSD,NISSA,0304P,K,0830A,0700P,BK,2017,,21 3,38-Failure to Display Muni Rec
91028MJ,NY,COM,12/13/2016,14,DELV,FRUEH,1012A,NY,0700A,0700P,WHITE,2017,,22 7,14-No Standing
59654MG,NY,COM,12/21/2016,36,VAN,FORD,0921A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
68218MG,NY,COM,12/13/2016,47,VAN,NS/OT,1039A,NY,0700A,0700P,BLACK,2015,,14 6,47-Double PKG-Midtown
AVW6443,NY,PAS,12/9/2016,36,PICK,GMC,1114A,ST,,,BK,2014,,,PHTO SCHOOL ZN SPEED VIOLATION
HHL8974,NY,PAS,12/5/2016,36,4DSD,HONDA,0954A,BK,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GER1584,NY,PAS,12/31/2016,7,4DSD,ME/BE,0936A,QN,,,WH,2015,,,FAILURE TO STOP AT RED LIGHT
HHP7446,NY,PAS,12/2/2016,31,2DSD,CHEVR,0533P,NY,0700A,0700P,GY,2016,,33 7,31-No Stand (Com. Mtr. Zone)
35079MD,NY,COM,12/8/2016,42,VAN,NS/OT,1258P,NY,0700A,0600P,WHITE,2013,147-3032,65 1,42-Exp. Muni-Mtr (Com. Mtr. Z)
98166MD,NY,COM,12/8/2016,42,VAN,CHEVR,0307P,NY,0800A,0600P,BL,2013,148-3028,46,42-Exp. Muni-Mtr (Com. Mtr. Z)
W28HDS,NJ,PAS,12/19/2016,36,4 DR,HONDA,0240P,BX,,,GY,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
GBD7091,NY,PAS,12/7/2016,37,SUBN,BMW,0639P,NY,0830A,0700P,BK,2014,140-3145,99 6,37-Expired Muni Meter
268DDD,NY,SPO,12/23/2016,36,CONV,BMW,0148P,QN,,,DKBL,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
GVK6209,NY,PAS,12/10/2016,37,SUBN,HONDA,1149A,K,0900A,0700P,GY,2014,304-3063,11 3,37-Expired Muni Meter
HJH4995,NY,PAS,12/22/2016,36,SUBN,DODGE,1132A,ST,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HDW5569,NY,PAS,12/6/2016,36,SUBN,BMW,1243P,ST,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
GYW6429,NY,PAS,12/19/2016,36,SUBN,SUBAR,0151P,BX,,,GY,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
45959MH,NY,COM,12/29/2016,37,VAN,DODGE,1118A,NY,0830A,0700P,RD,2016,134-8077,CC1,37-Expired Muni Meter
HFZ5517,NY,PAS,12/15/2016,36,SUBN,JEEP,1208P,QN,,,GY,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
HHK8373,NY,PAS,12/24/2016,37,4DSD,HONDA,0158P,NY,0800A,0700P,WH,2016,107-4868,03 7,37-Expired Muni Meter
GVZ1778,NY,PAS,12/7/2016,36,4DSD,BMW,0214P,BX,,,BK,2012,,,PHTO SCHOOL ZN SPEED VIOLATION
24322MH,NY,COM,12/8/2016,46,VAN,FORD,0135P,NY,,,WH,2015,,G 77,46B-Double Parking (Com-100Ft)
T668755C,NY,OMT,12/14/2016,7,4DSD,HONDA,1156P,MN,,,BK,2014,,,FAILURE TO STOP AT RED LIGHT
HLG9932,NY,PAS,12/16/2016,21,SDN,NISSA,0909A,K,0900A,1030A,SILVE,2013,-,,
GTD8046,NY,PAS,12/5/2016,98,SDN,TOYOT,0655P,K,ALL,ALL,GY,2014,-,,
GVJ2712,NY,PAS,12/20/2016,36,SUBN,ROVER,1041A,BK,,,BL,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
EGF4045,NY,PAS,12/5/2016,36,SUBN,JEEP,1230P,QN,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HHA7632,NY,PAS,12/20/2016,20,SUBN,HONDA,0216P,K,0800A,0600P,WH,2016,,R 32,20A-No Parking (Non-COM)
DZT8092,NY,PAS,12/16/2016,7,SUBN,JEEP,0640A,BK,,,WHBL,2014,,,FAILURE TO STOP AT RED LIGHT
EZRUNER1,NY,SRF,12/29/2016,21,PICK,NS/OT,1107A,NY,1100A,1230A,BLACK,2014,,47 7,21-No Parking (street clean)
GPY8824,NY,PAS,12/13/2016,71,4DSD,HONDA,0612P,R,,,RED,2015,,02-P,71A-Insp Sticker Expired (NYS)
HKH6088,NY,PAS,12/20/2016,70,SUBN,TOYOT,0143P,BX,,,BK,2012,,31 2,70A-Reg. Sticker Expired (NYS)
T700191C,NY,OMT,12/16/2016,89,SUBN,GMC,1045A,K,ALL,ALL,BLACK,2015,-,,
T711289C,NY,OMT,12/10/2016,40,SUBN,TOYOT,0221A,Q,,,BK,2016,,C 42,40-Fire Hydrant
T685816C,NY,OMT,12/27/2016,21,4DSD,TOYOT,1139A,Q,1130A,0100P,BK,2015,,30 4,21-No Parking (street clean)
T712132C,NY,OMT,12/31/2016,21,4DSD,TOYOT,0754A,Q,0730A,0800A,BK,2016,,A 42,21-No Parking (street clean)
GRM5381,NY,PAS,12/24/2016,14,4DSD,FORD,0415P,NY,0400P,0700P,GY,2014,,01 6,14-No Standing
GTD2874,NY,PAS,12/4/2016,71,SUBN,MAZDA,1127A,NY,,,GY,2015,,01 7,71A-Insp Sticker Expired (NYS)
GEK6150,NY,PAS,12/15/2016,36,4DSD,TOYOT,0901A,BK,,,WH,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
EVV7284,NY,PAS,12/9/2016,36,4DSD,ACURA,0214P,BX,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
HKT9010,NY,PAS,12/3/2016,20,SUBN,JEEP,0945P,BX,,,BLACK,2013,,I 21,20A-No Parking (Non-COM)
BRX1409,NY,PAS,12/15/2016,21,4DSD,VOLKS,0912A,K,0900A,1030A,BK,2016,,05 3,21-No Parking (street clean)
AU8408,NY,PSD,12/22/2016,7,DUMP,MACK,0843P,QN,,,WH,2012,,,FAILURE TO STOP AT RED LIGHT
MED,NY,PAS,12/20/2016,38,SDN,BMW,0608A,NY,ALL,ALL,WHITE,2014,-,,
2Y97H,NY,OMT,12/7/2016,37,TAXI,TOYOT,0531P,Q,0800A,0700P,YW,2015,441-3095,41 4,37-Expired Muni Meter
HCW6647,NY,PAS,12/13/2016,71,SUBN,SUBAR,0824A,K,,,GY,2013,,T 31,71A-Insp Sticker Expired (NYS)
HGR6882,NY,PAS,12/22/2016,21,4DSD,NISSA,0857A,BX,0830A,1000A,RED,2013,,B 21,21-No Parking (street clean)
GKC4882,NY,PAS,12/6/2016,36,4DSD,LEXUS,0150P,ST,,,WH,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
D38FBF,NJ,PAS,12/19/2016,36,WAGO,CHRYS,1055A,BK,,,BK,2015,,,PHTO SCHOOL ZN SPEED VIOLATION
EAE6897,NY,PAS,12/8/2016,24,SUBN,TOYOT,0935A,K,0800A,0800P,GY,2015,,03 3,24-No Parking (exc auth veh)
HME3944,NY,PAS,12/14/2016,20,4DSD,TOYOT,1138A,BX,0700A,0600P,OTHER,2016,,40 2,20A-No Parking (Non-COM)
FSG2625,NY,PAS,12/27/2016,14,SUBN,TOYOT,0457P,Q,0400P,0700P,BK,2016,,F 42,14-No Standing
DUJ3900,NY,PAS,12/27/2016,14,SUBN,HONDA,0446P,K,0400P,0700P,BR,2015,,L 32,14-No Standing
RTZ29Z,NJ,PAS,12/15/2016,7,4 DR,ME/BE,0827P,BK,,,SL,2015,,,FAILURE TO STOP AT RED LIGHT
HCR1052,TX,PAS,12/7/2016,36,4D,KIA,0116P,QN,,,,2013,,,PHTO SCHOOL ZN SPEED VIOLATION
GSV6042,NY,PAS,12/19/2016,70,SUBN,TOYOT,1036A,R,,,BK,2015,,05-A,70A-Reg. Sticker Expired (NYS)
T684864C,NY,OMT,12/16/2016,20,SUBN,TOYOT,0705A,BX,,,BLACK,2015,,B 62,20A-No Parking (Non-COM)
HAP1923,NY,PAS,12/24/2016,71,4DSD,VOLKS,1150A,Q,,,BK,2015,,28-A,71A-Insp Sticker Expired (NYS)
GBU6493,NY,PAS,12/13/2016,14,4DSD,HYUND,1150P,BX,,,BK,2012,,A 21,14-No Standing
HEG8695,NY,PAS,12/30/2016,21,4DSD,HYUND,1020A,K,0930A,1100A,BK,2016,,40 3,21-No Parking (street clean)
35216MB,NY,COM,12/7/2016,46,DELV,FRUEH,0205P,NY,ALL,ALL,BROWN,2012,-,,
FXB4390,NY,PAS,12/12/2016,14,4DSD,HYUND,0228P,K,,,BL,2015,,08 3,14-No Standing
GVG5820,NY,PAS,12/20/2016,21,SUBN,VOLKS,1147A,K,1130A,0100P,BK,2015,,06 3,21-No Parking (street clean)
FSW6308,NY,PAS,12/27/2016,21,4DSD,HONDA,0955A,K,0930A,1100A,BLACK,2015,,55 3,21-No Parking (street clean)
AHX5721,NY,PAS,12/13/2016,36,SUBN,SUBAR,1115A,BX,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
T693189C,NY,OMT,12/16/2016,36,4DSD,TOYOT,0844A,BK,,,BK,2016,,,PHTO SCHOOL ZN SPEED VIOLATION
T638219C,NY,OMT,12/23/2016,5,4DSD,TOYOT,0520P,BX,,,BK,2014,,,BUS LANE VIOLATION
