Vehicle Make,Total Violations,Percentage of Violations,Expected Violations
TOYOT,4153,13.463658172858716,1402.090909090909
HONDA,3548,11.502301757115996,1402.090909090909
NISSA,3235,10.487583479219348,1402.090909090909
FORD,2959,9.59281592426895,1402.090909090909
Other,2944,9.544187252804253,1402.090909090909
CHEVR,1588,5.148155352395772,1402.090909090909
JEEP,1516,4.914737729365234,1402.090909090909
ME/BE,1480,4.798028917849964,1402.090909090909
BMW,1227,3.977825325812099,1402.090909090909
HYUND,1142,3.7022628541788243,1402.090909090909
DODGE,1019,3.3035077481683204,1402.090909090909
LEXUS,947,3.0700901251377815,1402.090909090909
FRUEH,716,2.3212085845814694,1402.090909090909
INFIN,587,1.9030020099850873,1402.090909090909
VOLKS,577,1.87058289567529,1402.090909090909
ACURA,545,1.7668417298839396,1402.090909090909
SUBAR,511,1.6566167412306296,1402.090909090909
CHRYS,508,1.6468910069376903,1402.090909090909
AUDI,457,1.4815535239577255,1402.090909090909
KIA,445,1.442650586785969,1402.090909090909
GMC,426,1.3810542695973547,1402.090909090909
MAZDA,316,1.024444012189587,1402.090909090909
