,Vehicle Make,Total Violations,Percentage of Violations
1,AMC,1,0.0032419114309797056
2,AUA,1,0.0032419114309797056
4,BEN,2,0.006483822861959411
5,BENTL,2,0.006483822861959411
6,BL,1,0.0032419114309797056
7,BL/B,1,0.0032419114309797056
9,BUICK,84,0.2723205602022953
10,CADIL,273,0.8850418206574596
11,CARGO,1,0.0032419114309797056
14,CHUR,1,0.0032419114309797056
15,CHV,1,0.0032419114309797056
16,CIMC,1,0.0032419114309797056
17,COLLI,3,0.009725734292939117
19,FERRA,4,0.012967645723918822
20,FIAT,86,0.2788043830642547
21,FONTA,1,0.0032419114309797056
23,FR LI,1,0.0032419114309797056
24,FR/LA,1,0.0032419114309797056
25,FR/LI,1,0.0032419114309797056
26,FR/LM,1,0.0032419114309797056
27,FREHT,2,0.006483822861959411
28,FREIC,1,0.0032419114309797056
29,FRG,1,0.0032419114309797056
30,FRGHT,1,0.0032419114309797056
31,FRGI,1,0.0032419114309797056
32,FRH,2,0.006483822861959411
33,FRIE,3,0.009725734292939117
34,FRT L,1,0.0032419114309797056
36,FUSO,1,0.0032419114309797056
38,GREAT,2,0.006483822861959411
39,HARLE,4,0.012967645723918822
40,HIN,14,0.045386760033715876
41,HINO,240,0.7780587434351294
42,HIUNO,1,0.0032419114309797056
44,HYDI,1,0.0032419114309797056
46,IC,1,0.0032419114309797056
48,INTER,211,0.684043311936718
49,ISUZU,257,0.8331712377617843
50,JAGUA,43,0.13940219153212735
52,JENSE,3,0.009725734292939117
53,KENHU,1,0.0032419114309797056
54,KENW,1,0.0032419114309797056
55,KENWO,104,0.3371587888218894
56,KFM,1,0.0032419114309797056
57,KI/M,1,0.0032419114309797056
59,KW,1,0.0032419114309797056
60,L R,1,0.0032419114309797056
61,LENIT,1,0.0032419114309797056
63,LINCO,207,0.671075666212799
64,LND,9,0.029177202878817348
65,MACK,9,0.029177202878817348
66,MAS,1,0.0032419114309797056
67,MASSA,38,0.12319263437722881
69,ME,1,0.0032419114309797056
71,MERCU,29,0.09401543149841146
72,MI/F,14,0.045386760033715876
73,MICK,1,0.0032419114309797056
74,MICKE,1,0.0032419114309797056
75,MINI,83,0.26907864877131554
76,MITSU,153,0.496012448939895
77,MITSV,1,0.0032419114309797056
78,MVI,1,0.0032419114309797056
79,NEURA,1,0.0032419114309797056
80,NEWFL,1,0.0032419114309797056
82,NS/OT,156,0.505738183232834
83,PETER,106,0.3436426116838488
84,PONTI,2,0.006483822861959411
85,PORSC,89,0.2885301173571938
86,PREVO,1,0.0032419114309797056
87,ROLLS,4,0.012967645723918822
88,ROVER,234,0.7586072748492512
89,SCIO,1,0.0032419114309797056
90,SCION,1,0.0032419114309797056
91,SMA,2,0.006483822861959411
92,SMART,148,0.47980289178499647
93,SMARY,1,0.0032419114309797056
94,SMITH,1,0.0032419114309797056
95,SMRT,2,0.006483822861959411
96,SP/TE,1,0.0032419114309797056
97,STAR,3,0.009725734292939117
98,STARC,7,0.022693380016857938
100,SUBUN,1,0.0032419114309797056
101,SUZUK,2,0.006483822861959411
102,TESL,1,0.0032419114309797056
103,TESLA,20,0.06483822861959411
104,THOMA,4,0.012967645723918822
106,UD,3,0.009725734292939117
107,UPS,4,0.012967645723918822
108,UTIL,6,0.019451468585878234
109,UTILI,1,0.0032419114309797056
110,VANHO,1,0.0032419114309797056
111,VESGA,1,0.0032419114309797056
112,VESPA,5,0.016209557154898527
114,VOLVO,163,0.528431563249692
115,VPG,6,0.019451468585878234
116,WANC,1,0.0032419114309797056
117,WE/ST,1,0.0032419114309797056
118,WORIC,1,0.0032419114309797056
119,WORK,4,0.012967645723918822
120,WORKH,41,0.13291836867016793
121,ZENIT,1,0.0032419114309797056
